"","Verygoodhealth.White","Goodhealth.White","Fairhealth.White","Badhealth.White","Verybadhealth.White","Verygoodhealth.Mixedmultipleethnicgroups","Goodhealth.Mixedmultipleethnicgroups","Fairhealth.Mixedmultipleethnicgroups","Badhealth.Mixedmultipleethnicgroups","Verybadhealth.Mixedmultipleethnicgroups","Verygoodhealth.AsianAsianBritish","Goodhealth.AsianAsianBritish","Fairhealth.AsianAsianBritish","Badhealth.AsianAsianBritish","Verybadhealth.AsianAsianBritish","Verygoodhealth.BlackAfricanCaribbeanBlackBritish","Goodhealth.BlackAfricanCaribbeanBlackBritish","Fairhealth.BlackAfricanCaribbeanBlackBritish","Badhealth.BlackAfricanCaribbeanBlackBritish","Verybadhealth.BlackAfricanCaribbeanBlackBritish","Verygoodhealth.Otherethnicgroup","Goodhealth.Otherethnicgroup","Fairhealth.Otherethnicgroup","Badhealth.Otherethnicgroup","Verybadhealth.Otherethnicgroup"
"X0to15",66526.8469176566,999.174427525898,781.539781162375,136.784687064359,133.694346708204,15365.9180860083,279.008774405873,321.834343662683,41.2067525285953,48.137499365437,2345.44605877704,51.4430830057573,48.4161533258503,7.15753655365205,7.75758830419767,607.395945857331,14.5511323558559,12.9741522114391,1.79259041622211,2.04712382846186,242.928498421465,1.99889619600253,4.27743758232534,0.768296959865742,0.899886097304152
"X16to24",37581.6299036004,360.076302961331,501.945663197006,64.7263953992953,77.9898245744959,18686.3412257861,195.198380287868,271.832508124346,29.8224518833587,41.5719249291408,3588.50920569843,41.2269959464239,44.750107567769,6.3596120197156,6.65740693201529,783.867796113902,6.46448366257776,10.5671403263886,1.14678132899842,0.970085221006345,231.01435876872,2.13127030714642,3.61055805937122,0.630135656833375,0.959479798317547
"X25to34",30046.2518363113,203.40955020429,470.535101227961,59.1571664223263,90.9212278633595,20948.6565220407,177.683541895327,364.721150928597,37.3990644113397,61.0898584338338,4432.51489973106,41.9602452752088,75.2264520402667,7.57655217157826,13.1556375257047,1356.54612227132,9.00759236431777,16.8659270099397,2.87625906526255,7.29925489831701,326.284195897949,4.27637624467342,5.40164180029493,0.579499242627955,1.60432356664278
"X35to44",29176.7936998936,114.420376565207,272.745487225057,54.0882761861859,55.5291461902594,26127.7067667856,106.297774052822,322.857211779579,43.1865747675394,56.2261046845402,7652.039022941,49.8685255221145,104.946134257276,14.7900178795305,19.5220754944014,2982.72467483068,16.7560596667648,31.7062554029248,4.95413023334102,9.01021499188505,786.294409919298,2.57800272046441,8.20932666928177,1.46999081344436,2.27974005707091
"X45to54",24846.0310273137,72.9092142252721,121.402340595315,33.3207490956977,22.1323015929219,30264.6626713921,87.8465789604421,224.989168348027,39.298120690235,36.2521353811656,12251.4884723197,44.0139862030821,128.473862420257,18.2375663710868,20.2486219627893,5404.11980016501,25.490174250043,42.8726588229702,7.07971995571338,11.5189276937451,1521.32871663889,7.63984964035737,13.7940576449294,2.4846946070621,2.36458437025791
"X55to64",15131.805705611,19.9423462862756,53.0401918793028,9.81582318347064,11.7324502742571,27279.7180615541,32.6151617092837,131.756993496788,13.1664914699174,16.5184525201869,16331.8028996233,25.323897582735,111.062512959882,8.93798155149461,16.3883678160138,7115.22820782005,10.274555881627,60.2254216778575,4.27541633186369,4.92531991099975,1931.66480696681,6.77481977296738,13.7591401914776,1.27973074118693,2.96524505787157
"X65to74",6974.56315904255,8.17413783900945,13.7134459688736,2.83017892148386,2.17890441633901,19308.0583379939,18.0989989682511,50.323577406243,7.78034333001658,8.9788988573051,16436.2932690751,15.9250648745242,72.3354691368512,11.1936418355661,9.638013051371,6114.68264024856,6.14063091784207,37.8428762746432,4.91266812195382,3.65884399425313,1761.69021050763,1.42905851423253,9.07856229904447,1.26755492604539,2.21151566196279
"X75andover",2333.27501282226,2.15125256343051,4.39566965086286,0.821556382327404,0.504414396068859,10485.769891079,8.33569945998311,17.7844736773559,3.2273864248306,2.1220405192901,18276.2752413967,13.772723371064,40.0777918855133,8.25519855498267,4.93210703890637,7795.3426963757,7.52585552361982,23.8884555511447,4.40571690857853,4.0656915168895,2409.48902485854,2.08420222410368,10.2207965184458,1.93668958348579,1.34041449561161
